event_type,state,month,season,magnitude,magnitude_type,begin_lat,begin_lon,damage_property_num
Thunderstorm Wind,GEORGIA,3,MAM,52.0,EG,33.4757,-85.238,1000.0
Tornado,MICHIGAN,3,MAM,50.0,Unknown,41.79,-86.1,100000.0
Flash Flood,TENNESSEE,4,MAM,50.0,Unknown,36.03,-89.33,0.0
Thunderstorm Wind,TENNESSEE,4,MAM,52.0,EG,36.18,-88.16,0.0
Flash Flood,TENNESSEE,4,MAM,50.0,Unknown,36.3,-88.71,0.0
Flash Flood,TENNESSEE,4,MAM,50.0,Unknown,35.45,-89.78,0.0
Flash Flood,TENNESSEE,4,MAM,50.0,Unknown,36.3002,-88.3328,0.0
Hail,NEW YORK,4,MAM,0.75,Unknown,42.91,-77.75,0.0
Thunderstorm Wind,TENNESSEE,4,MAM,64.0,EG,35.82,-89.41,5000.0
Thunderstorm Wind,MISSISSIPPI,4,MAM,52.0,EG,34.81,-88.2,5000.0
Thunderstorm Wind,TENNESSEE,4,MAM,52.0,EG,35.6,-89.26,40000.0
Thunderstorm Wind,MISSISSIPPI,4,MAM,87.0,EG,34.3,-89.25,20000.0
Thunderstorm Wind,MISSISSIPPI,4,MAM,78.0,EG,34.33,-89.21,15000.0
Thunderstorm Wind,TENNESSEE,4,MAM,64.0,EG,35.82,-89.4,10000.0
Lightning,MISSISSIPPI,4,MAM,50.0,Unknown,34.43,-89.4,50000.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,43.21,-77.42,1000.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.93,-77.47,500.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.97,-77.38,0.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.81,-78.17,10000.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,43.21,-77.57,1000.0
Hail,NEW YORK,4,MAM,1.25,Unknown,42.95,-77.59,0.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.98,-77.38,500.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.93,-77.27,500.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.92,-77.3,500.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.97,-77.22,500.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.95,-77.13,1000.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.96,-77.14,0.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,MG,42.86,-77.85,0.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.98,-77.1,0.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.96,-77.13,0.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.96,-77.22,0.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.98,-77.18,0.0
